*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
propuesta propuesta NCFS000 0.458238
de de SPS00 0.999984
una uno DI0FS0 0.951575
idea idea NCFS000 0.989437
que que PR0CN000 0.562517
contribuirá contribuir VMIF3S0 1
significativamente significativamente RG 1
a a SPS00 0.996023
disminuir disminuir VMN0000 1
los el DA0MP0 0.976481
efectos efecto NCMP000 1
de de SPS00 0.999984
tres 3 Z 1
de de SPS00 0.999984
los el DA0MP0 0.976481
mas mas NCMS000 0.300463
graves grave AQ0CP0 0.974074
problemas problema NCMP000 1
sociales social AQ0CP0 0.986111
de de SPS00 0.999984
venezuela vena NCFS00X 1
problemas problema NCMP000 1
: : Fd 1
violencia violencia NCFS000 1
de de SPS00 0.999984
fines fin NCMP000 0.986111
de de SPS00 0.999984
quincena quincena NCFS000 1
( ( Fpa 1
muertes muerte NCFP000 1
, , Fc 1
robos robo NCMP000 1
, , Fc 1
atracos atraco NCMP000 1
) ) Fpt 1
inflación inflación NCFS000 1
estimulación estimulación NCFS000 1
económica económico AQ0FS0 1
solución solución NCFS000 1
propuesta proponer VMP00SF 0.541762
: : Fd 1
mediante mediante SPS00 0.987805
decreto decreto NCMS000 0.973497
ejecutivo ejecutivo AQ0MS0 0.35727
o o CC 0.999769
resolución resolución NCFS000 1
legislativa legislativo AQ0FS0 1
, , Fc 1
imponer imponer VMN0000 1
a a SPS00 0.996023
toda todo DI0FS0 0.982026
empresa empresa NCFS000 1
o o CC 0.999769
institución institución NCFS000 1
de de SPS00 0.999984
cualquier cualquiera DI0CS0 1
índole índole NCFS000 1
que que PR0CN000 0.562517
emplee emplear VMSP3S0 0.618939
a a SPS00 0.996023
diez 10 Z 1
o o CC 0.999769
más más RG 1
trabajadores trabajador NCMP000 0.983871
, , Fc 1
la el DA0FS0 0.972269
obligatoriedad obligatoriedad NCFS000 1
de de SPS00 0.999984
aumentar aumentar VMN0000 1
los el DA0MP0 0.976481
días día NCMP000 1
de de SPS00 0.999984
pago pago NCMS000 0.873499
y y CC 0.999962
en_vez_de en_vez_de SPS00 1
hacer hacer VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
dos 2 Z 0.991679
veces vez NCFP000 1
a a SPS00 1
el el DA0MS0 1
mes mes NCMS000 1
, , Fc 1
pagar pagar VMN0000 1
diez 10 Z 1
veces vez NCFP000 1
a a SPS00 1
el el DA0MS0 1
mes mes NCMS000 1
manteniendo mantener VMG0000 1
sin sin SPS00 1
embargo embargo NCMS000 0.973496
el el DA0MS0 1
pago pago NCMS000 0.873499
de de SPS00 0.999984
dos 2 Z 0.991679
veces vez NCFP000 1
a a SPS00 1
el el DA0MS0 1
mes mes NCMS000 1
a a SPS00 0.996023
cada cada DI0CS0 1
trabajador trabajador NCMS000 0.64273
. . Fp 1
en en SPS00 1
otras otro DI0FP0 0.734962
palabras palabra NCFP000 1
repartir repartir VMN0000 1
la el DA0FS0 0.972269
nómina nómina NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
empresa empresa NCFS000 1
en en SPS00 1
cinco 5 Z 0.995868
grupos grupo NCMP000 1
de de SPS00 0.999984
trabajadores trabajador NCMP000 0.983871
donde donde PR000000 0.967437
a a SPS00 0.996023
cada cada DI0CS0 1
grupo grupo NCMS000 1
se se P00CN000 0.465639
le le PP3CSD00 1
pagaría pagar VMIC3S0 0.649996
dos 2 Z 0.991679
veces vez NCFP000 1
a a SPS00 1
el el DA0MS0 1
mes mes NCMS000 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
daría dar VMIC3S0 0.649996
un uno DI0MS0 0.987295
total total AQ0CS0 0.987805
de de SPS00 0.999984
diez 10 Z 1
días día NCMP000 1
de de SPS00 0.999984
pago pago NCMS000 0.873499
a a SPS00 1
el el DA0MS0 1
mes mes NCMS000 1
. . Fp 1

a_título_de a_título_de SPS00 1
ejemplo ejemplo NCMS000 1
sugiero sugerir VMIP1S0 1
esta este DD0FS0 0.986779
