*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
el el DA0MS0 1
laboratorio laboratorio NCMS000 1
de de SPS00 0.999984
prótesis prótesis NCFN000 1
dental dental AQ0CS0 0.65727
estará estar VAIF3S0 1
ubicado ubicar VMP00SM 1
en en SPS00 1
las el DA0FP0 0.970954
instalaciones instalación NCFP000 1
de de SPS00 1
el el DA0MS0 1
área área NCFS000 1
de de SPS00 0.999984
odontología odontología NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
universidad universidad NCFS000 1
rómulo rómulo NCMS000 1
gallegos gallego AQ0MP0 0.421543
. . Fp 1
en en SPS00 1
un uno DI0MS0 0.987295
espacio espacio NCMS000 0.993421
especialmente especialmente RG 1
designado designar VMP00SM 1
para para SPS00 0.999103
tal tal DD0CS0 0.748227
fin fin NCMS000 1
. . Fp 1
en en SPS00 1
estas este DD0FP0 0.97043
instalaciones instalación NCFP000 1
se se P00CN000 0.465639
atenderán atender VMIF3P0 1
a a SPS00 0.996023
los el DA0MP0 0.976481
pacientes paciente AQ0CP0 0.63414
adultos adulto NCMP000 0.980769
con con SPS00 1
necesidades necesidad NCFP000 1
protésicas protésico AQ0FP0 1
que que PR0CN000 0.562517
acuden acudir VMIP3P0 1
a a SPS00 0.996023
las el DA0FP0 0.970954
clínicas clínica NCFP000 0.421663
odontológicas odontológico AQ0FP0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
universidad universidad NCFS000 1
de de SPS00 0.999984
acuerdo acuerdo NCMS000 0.991071
a a SPS00 1
el el DA0MS0 1
diagnóstico diagnóstico NCMS000 0.64273
previo previo AQ0MS0 0.466321
realizado realizar VMP00SM 1
por por SPS00 1
los el DA0MP0 0.976481
estudiantes estudiante NCCP000 0.64273
tratantes tratante AQ0CP0 0.528706
y y CC 0.999962
orientado orientar VMP00SM 1
por por SPS00 1
los el DA0MP0 0.976481
odontólogos odontólogo NCMP000 1
especialistas especialista AQ0CP0 0.442956
. . Fp 1

modelo modelo NCCS000 0.994505
de de SPS00 0.999984
desarrollo desarrollo NCMS000 0.992424
en en SPS00 1
la el DA0FS0 0.972269
primera 1 AO0FS0 0.997382
etapa etapa NCFS000 1
, , Fc 1
el el DA0MS0 1
paciente paciente NCCS000 0.352749
ingresa ingresar VMIP3S0 0.994868
a a SPS00 1
el el DA0MS0 1
sistema sistema NCMS000 1
de de SPS00 0.999984
registro registro NCMS000 0.973497
de de SPS00 0.999984
historias historia NCFP000 1
clínicas clínico AQ0FP0 0.578337
de de SPS00 1
el el DA0MS0 1
área área NCFS000 1
bajo bajo SPS00 0.879562
la el DA0FS0 0.972269
atención atención NCFS000 0.992424
de de SPS00 0.999984
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
estudiantes estudiante NCCP000 0.64273
de de SPS00 0.999984
odontología odontología NCFS000 1
. . Fp 1
luego_de luego_de SPS00 1
el el DA0MS0 1
llenado llenado NCMS000 0.458233
de de SPS00 0.999984
la el DA0FS0 0.972269
historia historia NCFS000 1
clínica clínico AQ0FS0 0.58992
, , Fc 1
se se P00CN000 0.465639
procede proceder VMIP3S0 0.980769
a a SPS00 0.996023
diagnosticar diagnosticar VMN0000 1
sus su DP3CP0 0.999692
necesidades necesidad NCFP000 1
protésicas protésico AQ0FP0 1
y y CC 0.999962
de de SPS00 0.999984
rehabilitación rehabilitación NCFS000 1
de de SPS00 1
el el DA0MS0 1
campo campo NCMS000 0.99569
protésico protésico AQ0MS0 0.569062
y y CC 0.999962
se se P00CN000 0.465639
prescribe prescribir VMIP3S0 0.994868
los el DA0MP0 0.976481
estudios estudio NCMP000 1
complementarios complementario AQ0MP0 1
pertinentes pertinente AQ0CP0 1
a a SPS00 0.996023
cada cada DI0CS0 1
caso caso NCMS000 0.99812
. . Fp 1
se se P00CN000 0.465639
toman tomar VMIP3P0 1
las el DA0FP0 0.970954
medidas medida NCFP000 0.987805
para para SPS00 0.999103
la el DA0FS0 0.972269
instalación instalación NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
