*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
la el DA0FS0 0.972269
potencia potencia NCFS000 0.972603
constituyente constituyente AQ0CS0 0.589091
para para SPS00 0.999103
volver volver VMN0000 1
se se PP3CN000 1
acto acto NCMS000 1
exige exigir VMIP3S0 0.994868
objetivar objetivar VMN0000 1
se se PP3CN000 1
en en SPS00 1
nuevas nuevo AQ0FP0 0.991803
instituciones institución NCFP000 1
de de SPS00 0.999984
poder poder NCMS000 0.718254
y y CC 0.999962
así_como así_como CC 1
se se P00CN000 0.465639
hizo hacer VMIS3S0 1
necesario necesario AQ0MS0 1
la el DA0FS0 0.972269
adecuación adecuación NCFS000 1
jurídica jurídico AQ0FS0 1
de de SPS00 0.999984
las el DA0FP0 0.970954
relaciones relación NCFP000 0.987805
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
a_partir_de a_partir_de SPS00 1
el el DA0MS0 1
mandato mandato NCMS000 1
teórico teórico AQ0MS0 0.65727
constitucional constitucional AQ0CS0 1
, , Fc 1
también también RG 1
es ser VSIP3S0 1
necesario necesario AQ0MS0 1
que que CS 0.437483
el el DA0MS0 1
poder poder NCMS000 0.718254
constituyente constituyente AQ0CS0 0.589091
reorganice reorganizar VMSP3S0 0.618858
sobre sobre SPS00 0.997091
nuevas nuevo AQ0FP0 0.991803
bases base NCCP000 0.995706
institucionales institucional AQ0CP0 1
su su DP3CS0 1
propio propio AQ0MS0 0.995868
poder poder NCMS000 0.718254
. . Fp 1
de de SPS00 0.999984
aquí aquí RG 1
surge surgir VMIP3S0 0.994868
la el DA0FS0 0.972269
figura figura NCFS000 0.962264
de de SPS00 0.999984
los el DA0MP0 0.976481
observatorios observatorio NCMP000 1
de de SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
como como CS 0.999289
una uno DI0FS0 0.951575
expresión expresión NCFS000 1
organizada organizar VMP00SF 1
de de SPS00 1
el el DA0MS0 1
pueblo pueblo NCMS000 0.995495
para para SPS00 0.999103
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
de de SPS00 0.999984
sus su DP3CP0 0.999692
derechos derecho NCMP000 0.97619
y y CC 0.999962
deberes deber NCMP000 1
en en SPS00 1
el el DA0MS0 1
control control NCMS000 1
social social AQ0CS0 0.995283
de de SPS00 0.999984
la el DA0FS0 0.972269
gestión gestión NCFS000 1
pública público AQ0FS0 1
y y CC 0.999962
comunal comunal AQ0CS0 1
, , Fc 1
desde desde SPS00 1
su su DP3CS0 1
propio propio AQ0MS0 0.995868
escenario escenario NCMS000 1
comunal comunal AQ0CS0 1
, , Fc 1
por por SPS00 1
ser ser VSN0000 0.940705
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
espacios espacio NCMP000 1
, , Fc 1
donde donde PR000000 0.967437
se se P00CN000 0.465639
debe deber VMIP3S0 0.992095
profundizar profundizar VMN0000 1
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
pleno pleno AQ0MS0 0.657003
de de SPS00 0.999984
la el DA0FS0 0.972269
democracia democracia NCFS000 1
protagónica protagónica AQ0FS0 0.89991
. . Fp 1
para para SPS00 0.999103
ellos ellos PP3MP000 1
se se P00CN000 0.465639
propone proponer VMIP3S0 1
dos 2 Z 0.991679
espacios espacio NCMP000 1
de de SPS00 0.999984
articulación articulación NCFS000 1
e y CC 0.980427
integración integración NCFS000 1
: : Fd 1
un uno DI0MS0 0.987295
primer 1 AO0MS0 1
nivel nivel NCMS000 1
municipal municipal AQ0CS0 1
mediante mediante SPS00 0.987805
la el DA0FS0 0.972269
conformación conformación NCFS000 1
de de SPS00 1
el el DA0MS0 1
observatorio observatorio NCMS000 1
socialista socialista AQ0CS0 0.59727
de de SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
, , Fc 1
como como CS 0.999289
una uno DI0FS0 0.951575
estructura estructura NCFS000 0.982301
abierta abrir VMP00SF 1
, , Fc 1
circular circular AQ0CS0 0.631306
, , Fc 1
dinámica dinámico AQ0FS0 0.62263
, , Fc 1
articuladora articulador AQ0FS0 1
que que PR0CN000 0.562517
incorpore incorporar VMSP3S0 0.618941
a a SPS00 0.996023
voceros vocero NCMP000 1
comunales comunal AQ0CP0 1
, , Fc 1
habitantes habitante NCCP000 1
entes ente NCMP000 1
, , Fc 1
organizaciones organización NCFP000 1
populares popular AQ0CP0 1
en en SPS00 1
sus su DP3CP0 0.999692
prácticas práctica NCFP000 0.378049
de de SPS00 0.999984
contraloría contraloría NCFS000 0.94113
social social AQ0CS0 0.995283
sin sin SPS00 1
que que CS 0.437483
nadie nadie PI0CS000 1
domine dominar VMSP3S0 0.618911
o o CC 0.999769
reduzca reducir VMSP3S0 0.618942
a a SPS00 0.996023
otros otro PI0MP000 0.430556
, , Fc 1
conservando conservar VMG0000 1
su su DP3CS0 1
diversidad diversidad NCFS000 1
de de SPS00 0.999984
experiencias experiencia NCFP000 1
, , Fc 1
puntos punto NCMP000 1
de de SPS00 0.999984
vista vista NCFS000 0.928205
y y CC 0.999962
programas programa NCMP000 0.97619
. . Fp 1
este este DD0MS0 0.960092
observatorio observatorio NCMS000 1
tendrá tener VMIF3S0 1
como como CS 0.999289
objetivos objetivo AQ0MP0 0.35727
establecer establecer VMN0000 1
un uno DI0MS0 0.987295
sistema sistema NCMS000 1
de de SPS00 0.999984
información información NCFS000 1
que que PR0CN000 0.562517
requieran requerir VMSP3P0 0.885893
las el DA0FP0 0.970954
organizaciones organización NCFP000 1
populares popular AQ0CP0 1
de de SPS00 1
el el DA0MS0 1
municipio municipio NCMS000 1
carlos carlos AQ0MP0 0.087264
arvelo arvelo NCMS000 0.807346
que que PR0CN000 0.562517
avanzan avanzar VMIP3P0 1
en en SPS00 1
la el DA0FS0 0.972269
conformación conformación NCFS000 1
de de SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
comunal comunal AQ0CS0 1
para para SPS00 0.999103
el el DA0MS0 1
seguimiento seguimiento NCMS000 1
y y CC 0.999962
evaluación evaluación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
programas programa NCMP000 0.97619
, , Fc 1
proyectos proyecto NCMP000 1
y y CC 0.999962
políticas político AQ0FP0 0.972603
que que PR0CN000 0.562517
ejecuten ejecutar VMSP3P0 0.885893
los el DA0MP0 0.976481
entes ente NCMP000 1
de de SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
público público AQ0MS0 0.401316
en en SPS00 1
la el DA0FS0 0.972269
localidad localidad NCFS000 1
, , Fc 1
en en SPS00 1
relación relación NCFS000 1
con con SPS00 1
su su DP3CS0 1
efectividad efectividad NCFS000 1
con con SPS00 1
el el DA0MS0 1
