*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
los el DA0MP0 0.976481
pioneros pionero NCMP000 0.49273
de de SPS00 1
el el DA0MS0 1
servicio servicio NCMS000 1
multiple multiple NCMS000 1
3726 3726 Z 1
, , Fc 1
r r NCFS000 0.638486
. . Fp 1
l l NCFS000 0.639397
. . Fp 1
, , Fc 1
es ser VSIP3S0 1
una uno DI0FS0 0.951575
asociación asociación NCFS000 1
cooperativa cooperativo AQ0FS0 0.211538
que que PR0CN000 0.562517
entre entre SPS00 0.998082
su su DP3CS0 1
objeto objeto NCMS000 0.98913
esta este DD0FS0 0.986779
la el DA0FS0 0.972269
función función NCFS000 1
de de SPS00 1
el el DA0MS0 1
transporte transporte NCMS000 0.918697
de de SPS00 0.999984
carga carga NCFS000 0.952569
; ; Fx 1
la el DA0FS0 0.972269
industria industria NCFS000 0.939394
de de SPS00 0.999984
transporte transporte NCMS000 0.918697
incluye incluir VMIP3S0 0.994868
una uno DI0FS0 0.951575
gran gran AQ0CS0 1
variedad variedad NCFS000 1
de de SPS00 0.999984
servicios servicio NCMP000 1
, , Fc 1
desde desde SPS00 1
transporte transporte NCMS000 0.918697
de de SPS00 0.999984
carga carga NCFS000 0.952569
pesada pesar VMP00SF 0.691767
o o CC 0.999769
industrial industrial AQ0CS0 0.865854
, , Fc 1
hasta hasta SPS00 0.957698
unidades unidad NCFP000 1
servidas servir VMP00PF 1
alimenticias alimenticio AQ0FP0 1
o o CC 0.999769
de de SPS00 0.999984
consumo consumo NCMS000 0.948927
masivo masivo AQ0MS0 1
. . Fp 1
cada cada DI0CS0 1
una uno DI0FS0 0.951575
de de SPS00 0.999984
estas este DD0FP0 0.97043
actividades actividad NCFP000 1
requiere requerir VMIP3S0 0.994868
de de SPS00 0.999984
ciertas cierto AQ0FP0 1
características característica NCFP000 0.983871
específicas específico AQ0FP0 1
, , Fc 1
por por SPS00 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
dentro_de dentro_de SPS00 1
la el DA0FS0 0.972269
